top_actors.actor_name
Tim Roth
Amanda Plummer
Laura Lovelace
John Travolta
Samuel L. Jackson
Andrew Garfield
Emma Stone
Jamie Foxx
Dane DeHaan
Colm Feore
Tim Robbins
Morgan Freeman
Bob Gunton
William Sadler
Clancy Brown
Mark Hamill
Harrison Ford
Carrie Fisher
Peter Cushing
Alec Guinness
Michael J. Fox
Christopher Lloyd
Lea Thompson
Crispin Glover
Thomas F. Wilson
Emilio Estevez
Paul Gleason
Anthony Michael Hall
John Kapelos
Judd Nelson
Sean Astin
Josh Brolin
Jeff Cohen
Corey Feldman
Kerri Green
Jodie Foster
Lawrence A. Bonney
Kasi Lemmons
Lawrence T. Wrentz
Scott Glenn
Sam Neill
Laura Dern
Jeff Goldblum
Richard Attenborough
Bob Peck
Jonathan Taylor Thomas
Matthew Broderick
James Earl Jones
Jeremy Irons
Moira Kelly
Andrew Kevin Walker
Daniel Zacapa
Brad Pitt
Gwyneth Paltrow
Tom Hanks
Tim Allen
Don Rickles
Jim Varney
Wallace Shawn
Jeff Bridges
John Goodman
Julianne Moore
Steve Buscemi
David Huddleston
Tom Sizemore
Edward Burns
Barry Pepper
Adam Goldberg
Edward Norton
Helena Bonham Carter
Meat Loaf
Zach Grenier
Keanu Reeves
Laurence Fishburne
Carrie-Anne Moss
Hugo Weaving
Gloria Foster
Liam Neeson
Ewan McGregor
Natalie Portman
Jake Lloyd
Ian McDiarmid
Russell Crowe
Joaquin Phoenix
Connie Nielsen
Oliver Reed
Richard Harris
Hugh Jackman
Patrick Stewart
Ian McKellen
Famke Janssen
James Marsden
Maggie Smith
Robbie Coltrane
Saunders Triplets
Daniel Radcliffe
Alan Howard
Noel Appleby
Sala Baker
Sean Bean
Bruce Allpress
John Bach
Cate Blanchett
Vin Diesel
Asia Argento
Marton Csokas
Michael Roof
Albert Brooks
Ellen DeGeneres
Alexander Gould
Willem Dafoe
Brad Garrett
Ali Astin
David Aston
Will Ferrell
Christina Applegate
Paul Rudd
Steve Carell
David Koechner
Lindsay Lohan
Rachel McAdams
Tina Fey
Tim Meadows
Amy Poehler
Jessica Alba
Devon Aoki
Alexis Bledel
Powers Boothe
Cara D. Briggs
Hayden Christensen
Christian Bale
Michael Caine
Katie Holmes
Gary Oldman
Leonardo DiCaprio
Matt Damon
Jack Nicholson
Mark Wahlberg
Martin Sheen
Piper Perabo
Rebecca Hall
Stephen Rea
Stephen Fry
John Hurt
Daniel Craig
Eva Green
Mads Mikkelsen
Judi Dench
Jeffrey Wright
Shia LaBeouf
Megan Fox
Josh Duhamel
Tyrese Gibson
Rachael Taylor
Heath Ledger
Aaron Eckhart
Maggie Gyllenhaal
Robert Downey Jr.
Terrence Howard
Leslie Bibb
Olga Kurylenko
Mathieu Amalric
Giancarlo Giannini
Jeff Kahn
Anthony Ruivivar
Jack Black
Jay Baruchel
Adewale Akinnuoye-Agbaje
Christopher Eccleston
Grégory Fitoussi
Joseph Gordon-Levitt
Leo Howard
